"review_traceability_id","chapter","ordinal","lo_ids","lo_count","mapping_status"
"RQ-C6-001",6,1,"LO-C6-01",1,"mapped"
"RQ-C6-002",6,2,"LO-C6-23",1,"mapped"
"RQ-C6-003",6,3,"LO-C6-04, LO-C6-13",2,"mapped"
"RQ-C6-004",6,4,"LO-C6-05",1,"mapped"
"RQ-C6-005",6,5,"LO-C6-10",1,"mapped"
"RQ-C6-006",6,6,"LO-C6-16",1,"mapped"
"RQ-C6-007",6,7,"LO-C6-18",1,"mapped"
"RQ-C6-008",6,8,"LO-C6-05",1,"mapped"
"RQ-C6-009",6,9,"LO-C6-06",1,"mapped"
"RQ-C6-010",6,10,"LO-C6-19",1,"mapped"
"RQ-C6-011",6,11,"LO-C6-20, LO-C6-21, LO-C6-22",3,"mapped"
"RQ-C6-012",6,12,"LO-C6-13, LO-C6-15, LO-C6-16",3,"mapped"
"RQ-C6-013",6,13,"LO-C6-02, LO-C6-14, LO-C6-17",3,"mapped"
