"lo_id","chapter","scope","section","bloom","workshop_links","review_links","coverage_status","objective_text"
"LO-C1-01","1","chapter","","apply",13,0,"workshop-only","Define a probability distribution and explain its role in describing possible outcomes of an experiment."
"LO-C1-02","1","chapter","","remember",1,0,"workshop-only","define a probability distribution and explain its role in describing possible outcomes of an experiment."
"LO-C1-03","1","chapter","","remember",2,0,"workshop-only","recall examples of discrete and continuous probability distributions (e.g., hypergeometric, binomial, normal)."
"LO-C1-04","1","chapter","","remember",7,0,"workshop-only","list common distributions used in statistics, including the hypergeometric, binomial, Poisson, normal, Student’s t, χ^2, and F distributions."
"LO-C1-05","1","chapter","","understand",2,0,"workshop-only","explain the difference between sampling with and without replacement and its impact on the distribution of successes (e.g., hypergeometric versus binomial)."
"LO-C1-06","1","chapter","","understand",0,0,"uncovered","describe the central limit theorem and its implications for the distribution of the sample mean as sample size increases."
"LO-C1-07","1","chapter","","understand",0,0,"uncovered","discuss the historical and practical significance of approximating one probability distribution with another."
"LO-C1-08","1","chapter","","apply",7,0,"workshop-only","compute probabilities using the hypergeometric, binomial, Poisson, normal, Student’s t, χ^2, and F distributions."
"LO-C1-09","1","chapter","","apply",7,0,"workshop-only","perform probability calculations in R or Python to solve practical problems using these distributions."
"LO-C1-10","1","chapter","","analyze",2,0,"workshop-only","assess the conditions under which the binomial distribution can approximate the hypergeometric distribution."
"LO-C1-11","1","chapter","","analyze",2,0,"workshop-only","determine when the Poisson distribution can be used to approximate the binomial distribution."
"LO-C1-12","1","chapter","","analyze",2,0,"workshop-only","evaluate whether the normal distribution can approximate the t-distribution under given circumstances."
"LO-C1-13","1","chapter","","evaluate",0,0,"uncovered","judge the appropriateness of approximations between distributions in modern computational contexts."
"LO-C1-14","1","chapter","","evaluate",0,0,"uncovered","critique the usefulness of such approximations in specific professional or theoretical applications, even when computing power is not a limitation."
"LO-C1-15","1","chapter","","create",0,0,"uncovered","design a simulation study to illustrate the central limit theorem, showing how the sample mean approaches a normal distribution with increasing sample size."
"LO-C1-16","1","chapter","","create",7,0,"workshop-only","conduct exercises in R or Python to calculate probabilities for various distributions, enabling students to apply statistical concepts using programming tools."
"LO-C2-01","2","chapter","","remember",8,0,"workshop-only","define point estimation and interval estimation for population parameters."
"LO-C2-02","2","chapter","","remember",4,0,"workshop-only","identify the difference between population mean, population total, and population proportion."
"LO-C2-03","2","chapter","","remember",2,0,"workshop-only","recall the purpose of the finite population correction factor."
"LO-C2-04","2","chapter","","understand",2,0,"workshop-only","explain the relationship between sample size, confidence level, and precision in estimation."
"LO-C2-05","2","chapter","","understand",2,0,"workshop-only","describe the importance of distinguishing between qualitative and quantitative characteristics in estimation."
"LO-C2-06","2","chapter","","understand",0,0,"uncovered","explain the assumptions underlying the normality of the sample mean and recognize when these assumptions may be invalid."
"LO-C2-07","2","chapter","","apply",2,0,"workshop-only","calculate point estimates for the population mean, population total, and population proportion using sample data."
"LO-C2-08","2","chapter","","apply",8,0,"workshop-only","construct two-sided and one-sided confidence intervals for the population mean, population total, and population proportion."
"LO-C2-09","2","chapter","","analyze",2,0,"workshop-only","assess the effect of the finite population correction factor on interval estimates."
"LO-C2-10","2","chapter","","analyze",2,0,"workshop-only","evaluate the adequacy of sample findings in achieving desired precision and determine the need for additional sampling."
"LO-C2-11","2","chapter","","evaluate",2,0,"workshop-only","judge the precision of interval estimates and their consistency with recorded population characteristics."
"LO-C2-12","2","chapter","","evaluate",0,0,"uncovered","critique the validity of the normality assumption in specific sampling scenarios."
"LO-C2-13","2","chapter","","create",2,0,"workshop-only","design a sampling plan that ensures target precision at a given confidence level."
"LO-C2-14","2","chapter","","create",0,0,"uncovered","develop strategies to handle cases where the normality assumption for the sample mean does not hold."
"LO-C3-01","3","chapter","","apply",38,0,"workshop-only","Define point estimation and interval estimation for population parameters."
"LO-C3-02","3","chapter","","remember",1,0,"workshop-only","define auxiliary variables and stratification in the context of sampling."
"LO-C3-03","3","chapter","","remember",4,0,"workshop-only","list the four estimators discussed: mean-per-unit, regression, ratio, and difference estimation."
"LO-C3-04","3","chapter","","remember",1,0,"workshop-only","recall the assumption of normality for the sample mean and the conditions under which it may be violated."
"LO-C3-05","3","chapter","","understand",1,0,"workshop-only","explain how auxiliary variables improve the precision of estimates."
"LO-C3-06","3","chapter","","understand",1,0,"workshop-only","describe the benefits of stratifying a population and how it supports normality of the sample mean."
"LO-C3-07","3","chapter","","understand",4,0,"workshop-only","differentiate between the four estimators (mean-per-unit, regression, ratio, and difference estimation) and explain their appropriate use cases."
"LO-C3-08","3","chapter","","apply",1,0,"workshop-only","stratify a population based on available data."
"LO-C3-09","3","chapter","","apply",0,0,"uncovered","allocate a calculated sample size to strata using proportional or optimal allocation methods."
"LO-C3-10","3","chapter","","apply",1,0,"workshop-only","evaluate the results of a stratified sample to estimate population characteristics."
"LO-C3-11","3","chapter","","analyze",1,0,"workshop-only","assess sampling situations to determine whether auxiliary variables or stratification would improve estimation precision."
"LO-C3-12","3","chapter","","analyze",1,0,"workshop-only","examine the impact of stratification and auxiliary variables on reducing bias and promoting normality."
"LO-C3-13","3","chapter","","evaluate",1,0,"workshop-only","critically assess whether the assumption of normality for the sample mean holds in specific sampling scenarios."
"LO-C3-14","3","chapter","","evaluate",4,0,"workshop-only","compare the precision and accuracy of different estimators in varied sampling contexts."
"LO-C3-15","3","chapter","","create",1,0,"workshop-only","design a sampling plan incorporating stratification and auxiliary variables to achieve precise and unbiased estimates."
"LO-C3-16","3","chapter","","create",1,0,"workshop-only","develop strategies to address cases where the assumption of normality is violated."
"LO-C4-01","4","chapter","","apply",25,0,"workshop-only","Define auxiliary variables and stratification in the context of sampling."
"LO-C4-02","4","chapter","","remember",1,0,"workshop-only","define the purpose of a hypothesis test and describe the steps involved in carrying it out."
"LO-C4-03","4","chapter","","remember",1,0,"workshop-only","distinguish between Type I and Type II errors, including their definitions and implications."
"LO-C4-04","4","chapter","","remember",1,0,"workshop-only","list the conditions under which hypothesis tests are valid."
"LO-C4-05","4","chapter","","understand",1,0,"workshop-only","explain how the required sample size is determined for a hypothesis test, taking into account factors like significance level, effect size, and power."
"LO-C4-06","4","chapter","","understand",1,0,"workshop-only","identify scenarios where hypothesis testing is feasible and appropriate."
"LO-C4-07","4","chapter","","understand",1,0,"workshop-only","describe how the theory of hypothesis testing is applied within the context of Monetary Unit Sampling (MUS)."
"LO-C4-08","4","chapter","","apply",1,0,"workshop-only","conduct a hypothesis test using sample data, including interpreting the results in the context of an audit."
"LO-C4-09","4","chapter","","apply",1,0,"workshop-only","implement selection methods for a Monetary Unit Sample, ensuring adherence to best practices and auditing standards."
"LO-C4-10","4","chapter","","apply",1,0,"workshop-only","use MUS to evaluate the sufficiency and reliability of audit evidence."
"LO-C4-11","4","chapter","","analyze",1,0,"workshop-only","assess the role of sample size, selection methods, and assumptions in determining the validity and reliability of a hypothesis test."
"LO-C4-12","4","chapter","","analyze",1,0,"workshop-only","compare the pros and cons of different selection methods in Monetary Unit Sampling, such as random sampling versus systematic selection."
"LO-C4-13","4","chapter","","evaluate",1,0,"workshop-only","evaluate the results of a Monetary Unit Sample to determine whether audit objectives have been met."
"LO-C4-14","4","chapter","","evaluate",1,0,"workshop-only","critically appraise the robustness of a hypothesis test or MUS procedure, identifying potential limitations or areas for improvement."
"LO-C4-15","4","chapter","","create",1,0,"workshop-only","develop a step-by-step plan for carrying out a hypothesis test tailored to a specific audit scenario."
"LO-C4-16","4","chapter","","create",1,0,"workshop-only","design a Monetary Unit Sampling procedure, including sample selection and evaluation methods, to achieve audit objectives effectively."
"LO-C5-01","5","chapter","","apply",79,0,"workshop-only","Define regression analysis and identify its primary components: dependent variable, independent variable, and error term."
"LO-C5-02","5","chapter","","remember",1,0,"workshop-only","identify the purpose of regression analysis in substantive analytical procedures and the role of expectations, residuals, and prediction uncertainty in evaluating audit evidence."
"LO-C5-03","5","chapter","","remember",2,0,"workshop-only","define the key terms used in regression analysis, including regression coefficient, standard error, residual, leverage, Cook's distance, and variance inflation factor (VIF)."
"LO-C5-04","5","chapter","","remember",3,0,"workshop-only","state the assumptions of the classical linear regression model, including linearity, random sampling, sample variation in the independent variable, and zero conditional mean."
"LO-C5-05","5","chapter","","remember",2,0,"workshop-only","list the main steps in building and applying a regression-based analytical procedure, from data collection and model selection through evaluation and documentation."
"LO-C5-06","5","chapter","","understand",1,0,"workshop-only","explain when regression analysis is suitable for an audit problem, taking into account the plausibility of the underlying business relationship and the availability of relevant data."
"LO-C5-07","5","chapter","","understand",1,0,"workshop-only","explain why model assumptions, diagnostics, and data quality affect the evidential value of regression results."
"LO-C5-08","5","chapter","","understand",1,0,"workshop-only","describe how model selection criteria — including R^2, adjusted R^2, and information criteria — are used to choose among competing regression models."
"LO-C5-09","5","chapter","","understand",1,0,"workshop-only","explain how outliers and influential observations, identified through leverage and Cook's distance, can distort regression estimates and affect audit conclusions."
"LO-C5-10","5","chapter","","apply",1,0,"workshop-only","use regression output, prediction uncertainty, and materiality to assess whether recorded amounts are consistent with audit expectations."
"LO-C5-11","5","chapter","","apply",2,0,"workshop-only","fit a simple and multiple linear regression model to audit data and interpret the estimated coefficients, prediction intervals, and goodness-of-fit measures."
"LO-C5-12","5","chapter","","apply",1,0,"workshop-only","apply regression diagnostics, including residual plots, leverage statistics, and tests for normality, homoskedasticity, and autocorrelation, to verify that model assumptions hold."
"LO-C5-13","5","chapter","","analyze",1,0,"workshop-only","interpret regression relationships and unusual observations in terms of underlying business processes, audit risk, and possible explanations."
"LO-C5-14","5","chapter","","analyze",1,0,"workshop-only","examine the components of a regression model — coefficients, R^2, ANOVA decomposition, and residual plots — to assess whether the model adequately captures the underlying business relationship."
"LO-C5-15","5","chapter","","evaluate",1,0,"workshop-only","evaluate whether a regression model can be relied upon as audit evidence and whether further investigation, adjustment, or alternative procedures are required."
"LO-C5-16","5","chapter","","evaluate",1,0,"workshop-only","assess whether the evidence obtained from a regression analysis is sufficient to support an audit conclusion at the required level of assurance."
